@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute data8 numeric
@attribute data9 numeric
@attribute data10 numeric
@attribute data11 numeric
@attribute data12 numeric
@attribute data13 numeric
@attribute data14 numeric
@attribute data15 numeric
@attribute data16 numeric
@attribute data17 numeric
@attribute data18 numeric
@attribute data19 numeric
@attribute data20 numeric
@attribute data21 numeric
@attribute data22 numeric
@attribute data23 numeric
@attribute data24 numeric
@attribute data25 numeric
@attribute data26 numeric
@attribute data27 numeric
@attribute data28 numeric
@attribute data29 numeric
@attribute data30 numeric
@attribute data31 numeric
@attribute data32 numeric
@attribute data33 numeric
@attribute data34 numeric
@attribute data35 numeric
@attribute data36 numeric
@attribute data37 numeric
@attribute data38 numeric
@attribute data39 numeric
@attribute data40 numeric
@attribute data41 numeric
@attribute data42 numeric
@attribute data43 numeric
@attribute data44 numeric
@attribute data45 numeric
@attribute data46 numeric
@attribute data47 numeric
@attribute data48 numeric
@attribute data49 numeric
@attribute data50 numeric
@attribute data51 numeric
@attribute data52 numeric
@attribute data53 numeric
@attribute data54 numeric
@attribute data55 numeric
@attribute data56 numeric
@attribute data57 numeric
@attribute data58 numeric
@attribute data59 numeric
@attribute data60 numeric
@attribute data61 numeric
@attribute data62 numeric
@attribute data63 numeric
@attribute data64 numeric
@attribute data65 numeric
@attribute data66 numeric
@attribute data67 numeric
@attribute data68 numeric
@attribute data69 numeric
@attribute data70 numeric
@attribute data71 numeric
@attribute data72 numeric
@attribute data73 numeric
@attribute data74 numeric
@attribute data75 numeric
@attribute data76 numeric
@attribute data77 numeric
@attribute data78 numeric
@attribute data79 numeric
@attribute data80 numeric
@attribute data81 numeric
@attribute data82 numeric
@attribute data83 numeric
@attribute data84 numeric
@attribute data85 numeric
@attribute data86 numeric
@attribute data87 numeric
@attribute data88 numeric
@attribute data89 numeric
@attribute state {1,2}

@data
2.485628,2.819306,2.360662,2.704645,2.078619,2.025045,2.051265,1.924202,1.718100,1.140627,1.727599,2.249503,2.539297,2.425335,2.456037,1.862511,2.226761,1.887042,1.731372,1.341400,2.370313,2.855581,2.696712,2.779384,2.314821,1.902030,2.146465,1.966604,1.739700,1.290798,2.194587,2.630645,2.486311,2.580782,2.261604,1.646391,2.044262,1.793980,1.612993,1.347100,2.204870,2.602094,2.314344,2.487442,1.981175,1.536271,1.819825,1.673462,1.625167,1.367823,1.898793,2.409095,2.488048,2.474925,2.572804,2.056344,2.349159,2.153915,1.950838,1.621938,1.912547,2.218651,2.332396,2.290402,2.097288,1.663829,1.903085,1.579631,1.740959,1.633460,2.182204,2.532183,2.165629,2.426373,2.153673,1.974452,2.075101,1.754636,1.474386,1.149947,2.324652,2.678134,2.196532,2.531045,2.130193,1.988032,2.088287,1.966503,1.672220,1.266186,1
1.590535,1.923435,1.899595,1.922543,2.403872,2.269056,2.309288,2.025615,1.662199,1.210498,1.580230,1.926779,2.300303,2.164073,2.078367,2.005272,2.044478,1.998805,1.665073,1.219194,1.767437,2.126332,2.337467,2.288123,2.372039,2.199039,2.293543,2.187126,1.806309,1.197018,1.444794,1.996772,2.207206,2.124553,2.329890,2.039131,2.176490,1.914067,1.575723,1.177685,1.581910,1.824869,1.983287,1.943468,2.075582,1.954019,2.026009,2.014927,1.707719,1.224615,1.806563,2.052912,2.252386,2.162993,2.217626,1.981974,2.082763,1.837279,1.676157,1.443667,1.932451,2.022045,2.399160,2.241087,2.334641,2.163444,2.239159,2.117369,1.949670,1.861778,1.305455,1.797258,1.721553,1.757040,2.279631,2.244654,2.229474,1.979447,1.588798,1.078239,1.669593,1.879688,1.816408,1.880566,2.183050,1.995414,2.103338,1.865650,1.631527,1.224561,1
1.920948,2.190783,2.454294,2.377826,2.722808,2.056724,2.495934,2.001226,1.568047,1.162950,1.628377,1.867610,2.133210,2.001763,2.098310,1.792434,1.922376,1.569342,1.523676,1.336626,2.217306,2.381276,2.381519,2.403282,2.469005,1.950698,2.273037,1.827991,1.476325,1.207725,2.283456,2.411352,2.438960,2.410169,2.245535,1.794753,2.010047,1.502391,1.398758,1.182620,1.151480,1.845426,2.195299,2.019406,2.121385,1.692546,1.943090,1.690237,1.487150,1.222872,2.483959,2.601229,2.472814,2.515968,2.218717,1.949542,2.019603,1.811108,1.721571,1.483440,2.638019,2.648928,2.480586,2.584059,2.214521,2.016622,2.045954,1.834766,1.898951,1.717734,2.142199,2.246609,2.270946,2.293231,2.474254,1.929991,2.267359,1.606205,1.347772,1.004441,1.621899,2.107744,2.389315,2.267941,2.360852,1.923166,2.219954,2.012628,1.601112,1.120225,1
2.002572,2.074208,2.410863,2.305163,2.387049,1.815989,2.178066,1.829427,1.620065,1.152239,1.880690,1.950960,2.262449,2.138893,2.216810,1.613559,1.972970,1.393979,1.415689,1.156921,2.277168,2.326404,2.587707,2.505706,2.401045,1.754466,2.176318,1.565323,1.473065,1.192426,1.923891,2.184210,2.258479,2.200188,2.147460,1.582615,1.942058,1.470976,1.433713,1.238074,2.144986,2.094687,2.527163,2.384938,2.250723,1.860250,2.054639,1.414602,1.499036,1.175851,2.573716,2.765199,2.482579,2.607466,2.349402,2.014326,2.189993,2.000139,1.806541,1.497242,2.660566,2.866679,2.725951,2.806856,2.479902,2.213554,2.354990,1.869401,1.977900,1.661516,1.979081,1.988844,2.159693,2.119063,2.193070,1.742371,2.024458,1.799022,1.499558,1.097808,1.939434,2.241744,2.490163,2.381392,2.173585,1.831283,2.043240,1.796890,1.602321,1.162304,1
1.966851,2.068307,2.440434,2.303226,2.193350,1.955212,2.099306,2.128433,1.765851,1.291399,1.876173,1.817558,2.332964,2.176295,2.120739,1.805651,1.973171,1.467945,1.453417,0.933665,2.350455,2.216984,2.457222,2.358497,1.952256,1.935756,1.898443,1.710116,1.587126,1.106788,1.883480,2.038734,2.406510,2.274063,2.017906,1.791803,1.897745,1.466885,1.440613,1.115513,2.289573,2.106235,2.486598,2.382897,2.175860,1.884935,2.023758,1.602808,1.501884,1.022365,2.360598,2.590254,2.683640,2.617199,2.329514,2.081526,2.193932,1.594491,1.641369,1.341888,2.596250,2.573859,2.680449,2.654024,2.398528,2.309117,2.356414,2.033075,1.949089,1.658738,1.416870,1.621064,2.181421,2.009502,2.133998,1.815850,2.011646,2.012242,1.624275,1.154348,2.273324,2.296458,2.321213,2.322890,1.831544,1.797264,1.829042,1.821564,1.559746,1.102857,1
2.275132,2.565767,2.419724,2.492384,2.291042,1.875998,2.132942,2.164936,1.737955,1.225392,1.849323,2.237021,2.546122,2.418692,2.103562,1.674149,1.931969,1.527086,1.385930,0.950348,2.307799,2.448497,2.588841,2.560692,2.124335,1.855365,1.986164,1.944203,1.628557,1.153242,2.350803,2.527784,2.378556,2.484788,2.062750,1.567160,1.876575,1.810084,1.544647,1.053238,1.868966,1.995713,2.140499,2.123726,1.634398,1.519111,1.589005,1.591462,1.433562,1.129288,2.357495,2.546453,2.603124,2.576332,2.065209,1.711928,1.928314,1.743907,1.591918,1.186568,2.077502,2.143282,2.525275,2.404858,1.802320,1.819651,1.839139,1.734820,1.678202,1.563734,2.212990,2.500533,2.282136,2.406072,2.285935,1.876829,2.096061,2.032581,1.610057,1.054088,2.125454,2.523574,2.310272,2.411909,2.218641,1.730823,1.997055,1.624372,1.425867,1.043453,1
1.836551,2.012933,1.862292,1.966291,2.344318,1.851995,2.128241,1.905917,1.650917,1.188251,1.713191,1.825458,2.188764,2.041933,2.181777,1.778423,1.978672,1.634709,1.406083,1.070723,2.121339,1.989423,2.274280,2.215646,2.112204,1.717413,1.908933,1.897043,1.540421,1.084063,2.465819,2.319464,2.213280,2.262166,2.165065,1.825047,1.971030,1.886336,1.536103,0.975791,2.326901,2.407924,2.046204,2.305087,1.640504,1.747136,1.736840,1.919144,1.491370,1.148627,2.859698,2.595860,2.299648,2.490132,2.300544,1.972758,2.089151,1.769500,1.596615,1.239271,2.950240,2.750707,2.432893,2.666409,2.187353,1.899714,2.062223,1.825804,1.767724,1.600895,1.972428,2.194528,2.021412,2.107446,2.309018,2.001052,2.156426,1.985599,1.627985,1.081158,2.096658,2.308213,2.011770,2.208314,2.142856,1.965903,2.061569,1.801251,1.569095,1.043337,1
2.439419,2.702744,2.579269,2.650245,2.823869,1.955357,2.569329,1.925709,1.824722,1.097787,2.178618,2.326832,2.184207,2.250980,2.209983,1.578560,1.992263,1.469608,1.455771,0.828140,2.422564,2.529844,2.458726,2.503590,2.602582,1.668140,2.336748,1.566949,1.534498,0.833814,2.103805,2.350101,2.282438,2.275632,2.323794,1.553170,2.088233,1.699816,1.531715,0.890870,2.429025,2.551340,2.222543,2.446975,2.210148,1.608435,2.024961,1.535735,1.288542,0.899652,2.092253,2.275935,2.213780,2.205050,2.199169,1.673886,1.995515,1.680141,1.674684,1.281130,2.534640,2.644413,2.567492,2.594603,2.144943,2.081010,2.154728,1.970106,1.736922,1.571765,2.278180,2.542991,2.336879,2.459060,2.669424,2.044786,2.456085,1.922817,1.623079,1.061687,2.266458,2.450745,2.455343,2.468313,2.658149,1.966399,2.436368,1.782371,1.651168,0.964810,1
2.333896,2.612212,2.496868,2.592678,2.889518,2.090293,2.636003,1.996463,1.768475,1.271667,2.398397,2.675992,2.531482,2.586131,2.197205,1.641663,1.989561,1.451232,1.420890,1.070912,2.398287,2.488401,2.336383,2.465020,2.725144,1.748023,2.455658,1.690534,1.628247,1.183452,2.386932,2.600166,2.366155,2.492765,2.425801,1.598134,2.166732,1.382829,1.381544,1.067983,2.432331,2.497077,2.375110,2.442846,2.388832,1.631819,2.161154,1.673385,1.510576,1.161681,2.782542,2.823365,2.464302,2.679522,2.376101,1.978948,2.164215,1.637314,1.516973,1.385046,2.744282,2.913536,3.031733,2.922254,2.274374,2.166796,2.245866,2.117612,1.957679,1.669291,2.164931,2.574429,2.405975,2.515940,2.700841,1.866046,2.445301,1.782065,1.584179,1.158476,2.161753,2.379535,2.401894,2.412601,2.706770,1.822878,2.446270,1.658600,1.455600,1.194547,1
2.346140,2.364920,2.240388,2.345263,2.413677,2.211414,2.313247,1.928447,1.735386,1.230865,2.201584,2.495636,2.152528,2.367541,1.932561,1.772055,1.813199,1.604524,1.457261,1.040684,2.177086,2.457425,2.240870,2.387545,2.242779,2.058377,2.162099,2.002287,1.729919,1.155940,2.309862,2.486130,2.039555,2.347627,2.084487,1.770900,1.910151,1.667029,1.549251,0.905491,2.237426,2.313563,1.978940,2.178428,2.076319,1.704949,1.943378,1.787935,1.552493,1.107831,2.629961,2.653865,2.371289,2.553242,2.290239,2.052458,2.103416,1.655666,1.636246,1.289664,2.601718,2.591396,2.330311,2.450738,2.115613,1.912516,2.023031,1.951916,1.789935,1.400255,1.791238,2.212525,2.145077,2.187794,2.130455,1.731346,1.968356,1.641931,1.526986,1.097734,2.172532,2.310014,2.202482,2.269453,2.246356,2.202539,2.243350,1.957571,1.536002,1.164316,1
